[Lesson 7 - Teacher's Day]

[• The way to the guest house]

Harry | Look at the school over there. What makes so many people stand in front of the school?
Soyeong | I think that is because today is Teacher's Day. The teachers and students are standing to greet each other.
Julie | Oh, Korea has Teacher's Day, too.
InSung | There is Teacher's Day in America, too, right? When is Teacher's Day in America?
Julie | In the United States, the first full week of May is Teacher Appreciation Week. National Teacher Day is on Tuesday during the week. It is May 10 this year.
Soyeong | It's amazing to have "Teacher's Week". We have Teacher's Day on May 15th. Harry, how about he UK?
Harry | We annually celebrate World Teacher's day also known as International Teacher's Day. It is October 5.
InSung | I see. It's been a while. I think I should call my high school teacher.
Julie | Oh, your teacher will b e very pleased.
